"Cross-section(mass), created by Plot Digitizer, 2.6.6"
"Date: 8/10/15, 5:24:11 PM"


31
mass,Cross-section
5.20588,-26.0959
9.74027,-26.0111
15.8018,-25.7846
20.7665,-25.6477
26.6765,-25.5161
33.8817,-25.4107
45.5528,-25.2685
58.8530,-25.1579
77.7872,-25.0315
106.996,-24.9103
129.108,-24.8260
174.584,-24.7258
245.676,-24.6098
345.707,-24.4728
451.755,-24.3517
580.350,-24.2516
708.307,-24.1673
915.144,-24.0777
1123.32,-24.0039
1324.95,-23.9354
1571.73,-23.8721
1812.10,-23.8089
2198.96,-23.6879
2745.47,-23.5616
3369.81,-23.4510
4183.41,-23.3247
5047.75,-23.2141
6021.66,-23.1036
7224.64,-23.0036
8376.68,-22.9036
9712.59,-22.8141
