"Cross Section(Mass), created by Plot Digitizer, 2.6.6"
"Date: 8/21/15, 2:31:11 PM"


24
Mass,Cross Section
102.744,-23.0756
122.323,-23.1942
142.306,-23.3318
146.754,-23.3649
161.779,-23.4290
172.486,-23.5357
181.096,-23.5997
193.086,-23.6755
207.462,-23.7395
217.264,-23.7799
238.897,-23.8226
276.518,-23.8700
380.107,-23.9176
465.529,-23.9272
583.479,-23.9131
877.483,-23.8754
1417.98,-23.7975
1969.45,-23.7171
2216.36,-23.6200
3647.02,-23.3075
5759.12,-23.1656
7218.48,-23.1136
8594.88,-23.0805
9872.52,-23.0592
